Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Europe,Ireland,2010,4559080,91.86814117,1.090392947,6.144365311,0.192679852,0.236867964,0.02652177,0.441032231,1,372
Europe,Ireland,2020,4982606.5,81.21601868,1.691199064,15.6012392,0.193803862,0.694914162,0.054588255,0.548237681,1,372
Middle East-North Africa,Israel,2010,7336735,1.964361548,13.85749912,3.576563597,0.051385254,0.199271202,78.49975586,1.851163983,1,376
Middle East-North Africa,Israel,2020,8800376,1.879276514,14.73149681,4.374664307,0.042839181,0.166129664,77.0493927,1.756201863,1,376
Europe,Italy,2010,60164213,88.4956665,3.415664911,6.738992691,0.41805926,0.300039828,0.0750653,0.556514144,1,380
Europe,Italy,2020,59912769,80.47179413,4.419428349,13.27242947,0.613567829,0.425853163,0.071020424,0.725903451,1,380
Sub-Saharan Africa,Ivory Coast,2010,22488064.5,40.79904556,43.72231293,10.00831509,0,0,0,5.470327854,1,384
Sub-Saharan Africa,Ivory Coast,2020,28915449.5,44.91496658,46.32071686,5.564354897,0,0,0,3.19996047,1,384
Latin America-Caribbean,Jamaica,2010,2748567.5,70.44303894,0.016460026,21.84929657,0,0.03840673,0.007315567,7.645484924,1,388
Latin America-Caribbean,Jamaica,2020,2830739,68.61232758,0.015954982,23.74363899,0.001242755,0.036873739,0.017727759,7.57223177,1,388
Asia-Pacific,Japan,2010,128185275,2.208920956,0.158718973,52.17994308,41.79790497,0.024834789,0.001321784,3.628358364,1,392
Asia-Pacific,Japan,2020,126304543,2.249630213,0.16997391,57.45616913,37.20560837,0.031737354,0.001376222,2.885504961,1,392
Middle East-North Africa,Jordan,2010,7297043.5,3.3538661,96.46387482,0.075166725,0.028421966,0.063812368,0,0.014860217,1,400
Middle East-North Africa,Jordan,2020,10865227.5,2.809163332,97.08689117,0.047398046,0.018849416,0.027908115,0,0.009790716,1,400
Asia-Pacific,Kazakhstan,2010,16836810.5,27.32284164,69.66152954,2.864628315,0.094393596,0,0.033940181,0.022663796,1,398
Asia-Pacific,Kazakhstan,2020,19482117,19.29185677,77.90452576,2.534446478,0.091090441,0,0.042062771,0.13601622,1,398
Sub-Saharan Africa,Kenya,2010,41598566.5,83.121315,11.22477722,2.404452324,0.00072258,0.139222458,0.00096344,3.108549833,1,404
Sub-Saharan Africa,Kenya,2020,52217333.5,85.67028809,10.93115425,1.603437185,0.000961802,0.127907932,0.000577081,1.665675163,1,404
Asia-Pacific,Kiribati,2010,108704.001,97.3169632,0.102870002,0.045471456,0,0,0,2.53469348,1,296
Asia-Pacific,Kiribati,2020,126099.001,97.57009888,0.08540649,0.100478217,0,0,0,2.244013548,1,296
Europe,Kosovo,2010,1788742.5,6.089845657,93.75791168,0.14943783,0,0,0.002802875,0,1,412
